Description,Key Partners,Key Activities,Key Resources,Value Propositions,Customer Relationships,Channels,Customer Segments,Cost Structure,Revenue Streams,Company,,,,,,,
,Technologypartner,Marketing,Platform,Spend 10times less money when transferring international money,Peer-to-peer payments,Help Centre,Early adopters,Commission,Personal loans from Revolut,,,,,,,,
,,Entering the stock market,Revolut community,"Digital banking (pre-paid debit card, peer-to-peer payments)",Profile,Multicurrency card that is accepted everywhere,Digital nomads,Help Centre,Trading,,,,,,,,
,,Social networking,Bank licence,No fee/low fees,Personal IBAN and pre-paid card,ATMs,Individuals,Platform design (UI/UX),Insurance commission,,,,,,,,
,,Social media promoting,Strong Brand,Crypto currency exchange Disposable digital card,Customer service,Word of mouth,B2B,Community Management,Interchange fees,,,,,,,,
,,Financing,,Real time money management,,Tube adverts,B2C,Marketing,Investors - fundings,,,,,,,,
,,Law,,Easy onboarding process with attractive user interface,,,,"Bank licences, Regulations",,,,,,,,,
,,,,User friendly,,,,Security,,,,,,,,,
,,,,"Exclusive features: RevolutStay, RevolutShopper, etc.",,,,,,,,,,,,,
"Rimowa heavily relies on product placement, their products are frequently to be seen in movies or in paparazzi shots of celebrities carrying their suitcases at the airport. Rimowa equipped the whole German national football team with their suitcases. They also did a ?�Neon Collection?? which they promoted through different, international Influencers on TikTok, in order to reach the younger generation.",LVMH group,Product placement,Brand/Prominence,Superior quality,Customer service,Social media,Segmented market,Value driven,Selling of products,rimowa,,,,,,,
,"Luxury brand partners: Porsche, Lufthansa, Louis Vuitton, Off-White, Dior, Fendi, Supreme, etc.","R&D - Technology, innovation and craftmanship",Customers,Handcrafted products,Long term relationship with customers,People in the public eye,Wealthy people,R&D: Product development/production,Collaborations,,,,,,,,
,"Blogger, Influencer, Celebrities, Athletes, Artists",Marketing,Producers,Accessories,Assistance in stores,Website ??online shop,"Influencers, Celebrities, Athletes, Artists",Human resources,Product Placement,,,,,,,,
,,Stores,´Product patents,"Loyalty and long-term relationship: Life time guarantee, instant hotel repairs",Repair service,RIMOWA Mobile app,,Marketing,Product feature dependent,,,,,,,,
,,Website,Suitcases + accessories,Brand/Status,,Stores,,Production Sides,Revenue through Nft´s,,,,,,,,
,,Collaborations with key partners,Blockchain/Metaverse,Design,,Collaborations with luxury brands,,Stores,,,,,,,,,
,,Creating NFT´s,,Comfort,,"Adverts (books, etc.)",,Online Distribution,,,,,,,,,
,,,,Luxury,,Customer service,,,,,,,,,,,
,,,,Lifestyle,,Metaverse,,,,,,,,,,,
,,,,Customization,,,,,,,,,,,,,
"MOIA offers their services via their mobile app, which is available for android and apple. Furthermore, it offers apple pay and paypal as payment options, which makes it even more approachable, as users can pay directly on the mobile app.",VW concern,Fleet maintenance,Vehicle fleet,Trustful & reliable platform,Customer service,Website,Over 50 primary users,Software development,Service tax,moia,,,,,,,
,City Hamburg,Platform maintenance,"Charging points, hubs",Easy to use,Social gathering of drivers and users,Mobile app,Businesspeople,Platform design (UI/UX),Rider pays per ride,,,,,,,,
,Investors,Customer Service,Virtual Stops,Pre-order car-ride,Mobile application,Social media,"Tourists, students, families, children",Employees,Tips from rider to drivers,,,,,,,,
,Map provider,Marketing,Technological assets,Lower prices,"Safety, security",Word of Mouth,"Part-time, full-time",R&D,,,,,,,,,
,Apple/Android,Community Management,Staff,Convenience,Pricing,Marketing,B2C,Marketing,,,,,,,,,
,Community of drivers,,Community of user,Safety,Flexibility,"Discounts, Promos",B2B,Insurance,,,,,,,,,
,R&D partners,,Community of driver,On demand ecological rides,"Opportunity, fairness",Partnerships,,Fleet maintenance,,,,,,,,,
,Insurance,,,Income generation,Cities,"Hubs, Plug spots",,Customer service costs,,,,,,,,,
,,,,Flexible working hours,,Vouchers,,"Promos, discounts, etc.",,,,,,,,,
,,,,Bonus payments,,,,Driver referrals,,,,,,,,,
Trade Republic offers users easy access to the financial markets. The company does this primarily by offering low fees for trading various assets. Accessibility is also simplified by the possibility of investing in the app within a few minutes.,Trading venues: LS Exchange,Find investors,Brands,Easy access to the capital market,Transparency,Website,Private investors,App development,Spreads,trade-republic,,,,,,,
,"Banks: HSBC, SG, Citibank, Solarisbank, German Bank, Sheikh",Expand,App,Quick registration,Automation,App,,Expansion,Refunds,,,,,,,,
,Investors,Users,IT system,Favourable price,,Social media,,Personnel expenses,Order fees,,,,,,,,
,Licensor,Asset classes,VC Money,Investment protection,,PR,,Transaction costs,Registrations for the Annual General Meeting,,,,,,,,
,Deutsche Bundesbank and BaFin,Develop app,Customer base,,,Podcasts,,IT infrastructure,Registration of registered shares,,,,,,,,
,FMA,Marketing,,,,Word of mouth,,Marketing,Tax report,,,,,,,,
,,,,,,,,Affiliate programme,Reset with video identification,,,,,,,,
"Freitag's unique selling point is that all products are made from recycled materials that served a different purpose in their previous life. An example of this are the backpacks, handbags and accessories made from used tarpaulins with straps made from old seat belts.",Truck company,Design,Designers,Sustainable bags,Online Shop,Own stores,Environmentally aware people,Design,Sales via own stores and e-commerce physical stores and online shops,freitag,,,,,,,
,Suppliers,Logistik,Recycelte Materialien,Each product is unique,Physical shops,Catalogues,Modebewusste Menschen,Marketing,,,,,,,,,
,,Store management,Truck tarpaulins,Durability of the products,Friday Tower as a meeting place,Homepage,,Employees,,,,,,,,,
,,Customer service,,Quality bags,,Social networks,,,,,,,,,,,
,,Produktions management,,,,Word of mouth,,,,,,,,,,,
"Unity's technology was originally used for game development. However, it became clear that other creative industries could also benefit from Unity. For this reason, in addition to gaming, other customer segments such as automotive, film, aerospace, architecture, engineering and construction, etc. are now also served with Unity's technology.",Investoren,Creation of the technological infrastructure,Brand,Reliable and trustworthy platform,Customer service,Website,Gaming,Staff costs,"Lösungen erstellen (Abonnements, Asset Store)",unity,,,,,,,
,"Strategic partner companies (Microsoft, Apple, Nintendo, Intel, Google, Samsung, Sony, etc.)",R&D,Technology,"Free membership up to a turnover of 100,000 USD.",Platform,App,"Automobile, Transport & Manufacturing",Platform fees,"Lösung betreiben (Unity Ad, Unity IAP)",,,,,,,,
,,Platform maintenance,Human Capital,"Accessibility of professional real-time content in 2D, 3D, VR and AR.",Forum,Partner platforms,"Film, Animation & Cinematics",R&D,Unlocking purchases in Avatar Marketplace (70%) or in games (30%),,,,,,,,
,,,Monetary capital,"Creation, publishing and operation of real-time content in 2D, 3D, VR and AR.",Chat,Blogs,"Government, Aerospace",R&D,,,,,,,,,
,,,User Community,Easy and fast handling,,Public Relations,"Architecture, Engineering & Construction",,,,,,,,,,
,,,,Supporting tools tutorials for development,,Word of mouth,Brands & Agencies,,,,,,,,,,
,,,,Good graphic resolution,,,Gambling,,,,,,,,,,
,,,,Versatile applicability,,,Strategic partner companies,,,,,,,,,,
,,,,Customer service,,,Educational institutions,,,,,,,,,,
,,,,Game development and operation,,,,,,,,,,,,,
,,,,Competitive advantages through real-time models Artistic freedom and fast production of films and animations,,,,,,,,,,,,,
,,,,"Simulation and training solutions for data visualisation, 3D simulation, AI and machine learning and extended reality (VR, AR, MR)",,,,,,,,,,,,,
,,,,Real-time experiences for real applications on a large scale,,,,,,,,,,,,,
,,,,Creating cutting-edge customer experiences Creation of games of chance and casino games,,,,,,,,,,,,,
,,,,Use of Unity creations on own platforms and devices,,,,,,,,,,,,,
"Traditional tutoring providers offer lessons in special rooms or at home. GoStudent, on the other hand, brings tutoring sessions for the first time into a virtual space that can be accessed from anywhere with an electronic device and internet access. This makes tutoring more accessible.",Programmer,Creating the technological infrastructure and design for platform and chat,Community of students,Easy to use,24/7 Online Support,Website,Students 6-19,Platform development and revision,Subsctription-Modell 37.5%-49.3% Share for one unit of individual tutoring (depends on subscription model,go-student,,,,,,,
,Investors,Community management,Community of tutors,Homework chat,WebApp,Mobile App,Parents,Platform maintenance,Sale of data or analyses,,,,,,,,
,Payment providers,Match-making,Brand,Interactive and media-based teaching,MobileApp,Social Media,Tutors,Platform design (UI/UX),,,,,,,,,
,Payment providers,Quality assurance of teachers,Platform,Access to better teachers,Website / FAQ (many languages),Blog (für Eltern),,human resources,,,,,,,,,
,Data storage companies,Data processing and management,Chat,Trusted and reliable platform,Personal video calls,TV,,Marketing,,,,,,,,,
,,Customer service,Data,24/7 support,Reviews and comments,Word of Mouth,,Payment Fees,,,,,,,,,
,,Marketing,,Price,,,,Server,,,,,,,,,
,,Stimulate Network effects,,Quality assurance of tutors,,,,,,,,,,,,,
,,Administration of international payment systems,,Career possible,,,,,,,,,,,,,
,,,,Flexible additional income,,,,,,,,,,,,,
,,,,Location-independent,,,,,,,,,,,,,
,,,,Match-Making,,,,,,,,,,,,,
"One source of revenue for Gopuff is the sale of advertising through product placement on their website and app. The company offers a pre-built ""Ads suite of solutions"" in which there are in-app product showcases and sponsored search as well as off-platform audience extension with product samples (samplings). The customer data collected is also sold for targeted advertising. Gopuff has a cost-per-click payment model, manufacturers only have to pay when customers click on their ad.",Food and consumer goods manufacturers,"Purchase, storage and sale of products",Awareness,Easy ordering,Customer service,Website,Students,Website and app development,Studenten,gopuff,,,,,,,
,Warehouse landlord,App and website development and maintenance,Gopoff App,Convenience,Social media,Mobile app,"Busy, career-minded people",Rent of the warehouses,"vielbeschäftigte, karrierebewusste Menschen ",,,,,,,,
,Investors,Marketing,Lagerhallen,24/7 ordering (almost everywhere),Marketing campaigns,Social media,Parents,Purchase of products,Eltern,,,,,,,,
,,,Humankapital,Fast delivery,Website / App,Blogs,Millennials,Staff including suppliers,Millennials,,,,,,,,
,,,Netzwerk mit Herstellern,Wide range of products,Membership Fam,Word of mouth,,Marketing,,,,,,,,,
,,,Offline Standorte,Quick adaptation to customer needs,,,,,,,,,,,,,
,,,,Promotion of products,,,,,,,,,,,,,
,,,,Regular purchase of products,,,,,,,,,,,,,
Glovo offers all kinds of products and serves many different businesses. This is an advantage over other delivery services that limit themselves purely to the delivery of restaurant meals.,Technology Provider,Mediation between customer and supplier,Deliverers with their own vehicles,Trustworthy and reliable platform,Fast delivery,Website,Customer,Platform development,22-30% of the total value of the food or product delivered.,glovo,,,,,,,
,Map API Provider,Delivery service,Web platform and app,24/7 delivery,Customer service,Mobile App,Restaurants / Supermarkets / Traders,Platform design (UI/UX,"Additional delivery costs (these are based on location, travel and time)",,,,,,,,
,Payment providers,Logistics management,Mini Supermarkets,24/7 availability,Special offers/promotions,Social Media,Riders,Platform maintenance,Dark Kitchens (rental share),,,,,,,,
,Payment providers,Customer service,Dark Kitchen,Wide choice (many menus at a glance),Compensation for incorrect delivery,Blog,,human resources,Marketing and branding for certain restaurants/supermarket chains/etc.,,,,,,,,
,Investors,Technological infrastructure and design,Restaurant partnerships,Order tracking,"Reviews, Ratings & Feedback System",Bewertung,,Marketing,"Glovo Prime (Supscrtiption: 7,99??month)",,,,,,,,
,Restaurant Partner,,Packaging,Delivery to your door,,Rider,,Supplier Cost,,,,,,,,,
,,,Subscription,Online payment,,TV,,Customer Support,,,,,,,,,
,,,Community of user,Easy to use,,Word of Mouth,,,,,,,,,,,
,,,Community of provider,Customer extension,,,,,,,,,,,,,
,,,,Online platform for ordering,,,,,,,,,,,,,
,,,,Payment share only for bookings via Glovo,,,,,,,,,,,,,
,,,,Flexible side job,,,,,,,,,,,,,
,,,,Physical movement,,,,,,,,,,,,,
,,,,Tips from consumers,,,,,,,,,,,,,
"Klarna increases accessibility for customers by allowing them to use or purchase its payment solutions and other banking products free of charge. With three different payment options, there is something for every customer need. Furthermore, Klarna offers people who only have an ATM card the possibility to make online purchases. A few years ago, it was hardly possible to pay with an ATM card in online stores.",VISA,Development and maintenance of the platform/app,Awareness/Brand,"Free payment solutions (instant transfer, payment on account, payment by instalments)",Customer service,Website,Dealers,Technology,Dealer fees,klarna,,,,,,,
,"Acquisition companies (SOFORT, Cookies, BillPay)",Product development,Banking licence,Secure payment,Shopping-Assistant,App,Consumers,Marketing,Reminder fees from consumers,,,,,,,,
,"Technology partners (IBM, Mangento, etc.)",Security measures,Human capital,Customer service,Self-Checkout,Social Networks,,Product Development,Interchange fee,,,,,,,,
,Legal institutions,Funding,Monetary capital,Simple and seamless checkout,Convenience,Public Relations,,Maintenance,Interest on cash,,,,,,,,
,Investors,Legal,Large dealer network,Protection against fraud and default risk,Performance,Word of mouth,,Transaction costs,,,,,,,,,
,,,,Reduction of expenses,Pay now or later Optionen,Klarna Card,,,,,,,,,,,
,,,,Higher traffic on the merchant side,,Debit card,,,,,,,,,,,
,,,,One-Click payments,,Merchant website,,,,,,,,,,,
,,,,Refund for lost orders,,,,,,,,,,,,,
,,,,User-friendliness,,,,,,,,,,,,,
"Vorwerk has added this pattern to its latest models of the Thermomix. The functions of the Thermomix can be optimised by allowing customers to buy digital cookbooks online, which can be selected via the touchscreen or digital user interface of the appliance. In addition, customers can purchase a subscription to Cookidoo, where they can choose between millions of recipes every day.",Independent consultants,Creation of technological infrastructure & design,Thermomix brand,Simple operation,Personal consultations with potential customers,Website,Passionate cooks and chefs,Production costs,Sale of the Thermomix (approx. 1500$),thermomix-by-vorwerk,,,,,,,
,Developers,Community Management,"12,000 employees",12 functions in one food processor,Advice - For service questions or technical problems,Social Media,People who do not like or are not good at cooking,Employee costs,Subscription to Cookidoo - 39$ per year/ per customer,,,,,,,,
,Programmer,Customer service,Advanced kitchen appliance,"30,000 recipes adapted to the Thermomix",Individual customers can share their recipes with the community,Public Relations,Families who want to cook more efficiently,Technology,Revenue: 150-200 MIl US$,,,,,,,,
,Manufacturer,Marketing,Technology,Online recipes available,Cooking courses,Word of Mouth,,Development costs,,,,,,,,,
,Suppliers,Product Development,Market leader,Advice and purchase at home,Experience cooking,,,Distribution costs,,,,,,,,,
,Cookidoo - Membership Platform,,Cookidoo Membership,,,,,Research & Development,,,,,,,,,
,,,,,,,,Marketing,,,,,,,,,
"Patreon's platform was developed for ""creatives"", a clientele that includes a wide variety of traditional artistic activities such as video production and illustration. But the website also serves as a portal for teaching healthy eating habits, offering pastoral care and funding non-profit organisations.","Banks and payment service providers (When working with MasterCard, the company made demands on Patreon regarding its content on the platform. This caused irritation among creators).",Platform and membership form development,Platform,Freedom in content production (no influence and pressure from algorithms or advertising models),Website,"Website (Blogs, Community-Forum, Patreon U)",Content Creators (beginning and experienced independent creatives as well as established creative companies),"Platform development, maintenance and updating","Percentage of monthly income depending on pricing package (Lite 5%, Pro 8%, Premium 12%)",patreon,,,,,,,
,Creators and creative companies,Marketing and stimulation of network effects,Content,direct contact with fans,"Customer service (support with payment problems, etc.)",App,Content Consumers,"Support, organisation of events, etc.","Payment processing fees (successful payments from 3 euros: 3.4% + 0.35 euros, up to 3 euros: 5% + 0.15 euros)-> the fees are, however, only deducted after the payments have been received by the content creators (restructuring was attempted, but caused a stir due to its influence on the pricing structure of the content)",,,,,,,,
,Social media platforms (hardly any possibility to find creators or recruit fans on Patreon itself),Content regulation,Content Creators,financial stability,Further training opportunities and assistance,Soziale Medien,,Marketing and maintenance of network effects,,,,,,,,,
,Content creation tool providers (available as integrations on Patreon),Customer care,Content Consumers,support in the development of business models,,"Veranstaltungen (Clubs, Meetings, ...)",,"Payment operations (invoice sending, customer care, payment tracking, fraud protection)",,,,,,,,,
,,Management of international payments,Payment Systems,"Benefits in the form of exclusive content, merchandise, etc.",,,,Human Resources,,,,,,,,,
,,,Human Resources,Direct support of the Favourite artists,,,,,,,,,,,,,
Cazoo is responsible for the distribution of the cars they sell and promise to deliver purchases within 72 hours to the customers door. This is a big commodity for the customer as they can easily order a car online and have it in front of their house within 2-3 days.,Investors,Selling used cars,Brand,Trustful & reliable platform,?�Customer Obsession??- quote by the ceo,Website,Car Sellers,Platform design (UI/UX),Retail,cazoo,,,,,,,
,Car Sellers,Buying used cars,Catalog,Free membership,Online application,Mobile app,Car Buyers,Estimating car prices through experts,Wholesale,,,,,,,,
,Car buyers,Creating a trustworthy image,Shipping infrastructure,24/7 support,Support team,Social Media,,Car pick-up and delivery,Subscription Revenue,,,,,,,,
,Shipping companies,Shipping their product as fast as possible,Community of buyers,Shipping within 48 hours,,Blog,,Car Storage,,,,,,,,,
,Legal institutions,Improving shipping & Infrastructure,Community of sellers,Easy to use,,Public Relations,,Car Insurances,,,,,,,,,
,,Customer Service,,Buying for a fair price,,Word of Mouth,,Human resources,,,,,,,,,
,,Outsourcing to digital services,,Selling for a fair price,,,,Marketing,,,,,,,,,
,,Stimulate Network effects,,Customer Satisfaction,,,,Payment Fees,,,,,,,,,
"The asset in this case is the specially developed AI. This is used in various business areas. It is used in the self-driving car, in the Alice voice assistant and in many more.",Various technology companies as partners,R&D,Russia's largest search engine (has advantages when used with Cyrillic script,Making life easier for ordinary users and businesses on the internet,Support department enables all concerns to be expressed directly,The support department allows all concerns to be voiced directly,The support department allows all concerns to be voiced directly,R&D,Commissions from all services,yandex,,,,,,,
,Mozilla FireFox -> in Russia Yandex is the standard Mozilla FireFox browser,Offering the search engine,IT infrastructure,Optimal advertising,Advertising counters get in touch directly via the office and receive tailored conditions.,Advertising counters can be contacted directly via the office and receive tailor-made conditions.,Advertising counters can be contacted directly via the office and receive tailor-made conditions.,IT infrastructure support,"Revenue from advertising, per customer reached or per 1000 customers reached",,,,,,,,
,Marketing Partner,Providing an online portal for emails,Has an enormous amount of data,Electronic payment service,,,,Legal costs,Advertising,,,,,,,,
,Development Partner,Operating a variety of apps,Intellectual property (own algorithm),Online translator,,,,Salaries,Subscriptions,,,,,,,,
,"YandexDataFactory (Collaborates with AstraZeneca, Intel and Accenture)",Advertising coordination,Network of partners,Free news and video streaming,,,,Marketing costs,,,,,,,,,
,,Data Management,Own developed AI,Email programme,,,,,,,,,,,,,
,,Yandex Market,,Navigation App,,,,,,,,,,,,,
,,,,Leading provider of transport services,,,,,,,,,,,,,
,,,,Large Real Estate App,,,,,,,,,,,,,
,,,,Fast delivery of orders via Yandex Market,,,,,,,,,,,,,
"The expansion of retail locations will increase the accessibility of Beyond Meat products. Cooperation with various fast food chains also plays an important role here, as this makes the products accessible to the masses.",Retail (supermarkets),"Mission-oriented focus - climate, health, animal welfare",Brand,Good imitation of animal meat,Contact us online,Website,Flexitarian,Human Resources,Distribution,beyond-meat,,,,,,,
,Restaurants,Product innovation,Vegetable protein sources,No genetically modified ingredients,Customer service by mail,Social media,Vegetarians/vegans,Marketing,Collaborations,,,,,,,,
,Investors,Distribution,Expertise,animal welfare,Customer portal,Blogs,Health-conscious consumers,Research and product development,,,,,,,,,
,Consumers,Marketing,Business partner,Positive for environment and climate ,,Public relations,Environmentally conscious consumers,Fee payments,,,,,,,,,
,Suppliers,,,Less harmful consequences than with animal meat,,Word of mouth,,,,,,,,,,,
,Advertising partners,,,,,Partnerships,,,,,,,,,,,
,,,,,,Newsletter,,,,,,,,,,,
"In addition to fitness equipment, Tonal also sells fitness accessories such as weight benches, mats and various handles.",Logistics & Installation,Improve training plan,Patent of the digital weight system,Strength training at home,Coaching Technical Support Team,Website,Sports enthusiastic users between 18 and 55 years from the United States,Production,Margin on sales of Tonal - Fitness equipment,tonal,,,,,,,
,Producers,Marketing,Digital Coach,24/7 availability,,Mobile App,,Patent,Margin on sales of Smart Accessories,,,,,,,,
,Fitness Trainer,Software development,Fitness plans,Personal fitness experience,,Soziale Medien,,Marketing & Sales (Online & Showrooms),Subscription,,,,,,,,
,Investors,Product design,,Exercise variety,,Blog,,Development & design of hardware & software,,,,,,,,,
,,Product development,,Feedback on exercise performance,,Word of Mouth,,Logistics & installation costs,,,,,,,,,
,,,,Progress tracking and automatic adjustment,,40 Nordstrom Einzelhandelsstandorte,,Server & data processing,,,,,,,,,
,,,,Space-saving,,Showrooms,,Compilation of the training programme,,,,,,,,,
"Little Lunch offers its customers the service of not only purchasing the products in drugstores and supermarkets, but also ordering them online and having them delivered to their homes.",Investors,Sourcing organic ingredients,Website,Simple concept easy to use price - performance,Newsletter,Website / Online Shop,"people, who have little time for cooking",Performance marketing,German LEH (food retail) drugstore and supermarket,little-lunch,,,,,,,
,"Various distribution channels (Rewe, Metro, Globus. etc.)",Generate product diversity,Employees,Healthy organic ingredients,100% taste - simply prepared,Drugstore and supermarkets,and value organic quality,Product development,Online sales channel - generates approx. 10-20% of total sales,,,,,,,,
,Food manufacturers,Ensure a fair price,Production site,Good taste,Convenient online ordering,"Communication channels (Instagram, Facebook, etc.)",high-quality ingredients,Employees,B2B concept,,,,,,,,
,Large corporations,Operate an online shop,Financial resources,Unrefrigerated storage,B2B services,Newsletter,and environmental protection,"Manufacturer, external service provider, supermarket",,,,,,,,,
,Companies,Cooperate with various distribution channels,Brand,No artificial additives,High quality food,Networking through presentations,"Various distribution channels (Rewe, Metro, Globus. etc.)","Outsourcing (warehouse, production, field service)",,,,,,,,,
,Investment companies,"Obtain communication channels (Instagram, Facebook, etc.)",,Available through multiple channels (direct or indirect),,,,,,,,,,,,,
,Distribution partners (leh-vertrieb GmbH),Expand the area of corporate customers,,B2B (20 percent discount),,,,,,,,,,,,,
,Food blogger,,,Extensive recipes on the website,,,,,,,,,,,,,
"Neotaste builds a large community with its app by offering users benefits and discounts throughout the year. Thus, the company can secure many customers and win their loyalty. ",Gastronomy community,Providing Offers,Brand,Trustful & reliable platform,Online application,Mobile app,People from the age of 16 to 30 years,Platform development,Yearly fee of 29??neotaste,,,,,,,,
,Users,Introducing Gastronomies,Community of user,Free membership,Mobile application,Social media,Restaurant Owners,Human resources,Food & Drinks on Board,,,,,,,,
,Technology providers,Customer Service,Community of gastronomy,Easy to use,,Word of Mouth,Bar Owners,Human resources,Activities on Board / Land,,,,,,,,
,,Marketing,App,Providing deals for customers,,,Cafe Owners,,,,,,,,,,
,,,Deals,Marketing,,,,,,,,,,,,,
,,,,Customer growth,,,,,,,,,,,,,
"Users are offered increased accessibility by being able to play games and develop game worlds for free. Furthermore, the company provides videos and tutorials so that users can create their own games on Roblox without prior knowledge.",Investors,Creation of the technological infrastructure,Brand,Reliable and trustworthy platform,Customer service,Website,Players,Payment of the developers,Roblox Premium,roblox,,,,,,,
,"Corporate partners (SONY, Hasbro, Marvel, Lego etc.)",F&E,Human capital,Platform with access to all created game worlds,Platform,App,Game developers,Server fees,Robux sales,,,,,,,,
,,Security measures,Monetary capital,Customer service,Forum,Social networks,Educational institutions,Security measures,Unlocking purchases in Avatar Marketplace (70%) or in games (30%),,,,,,,,
,,Platform maintenance,Player Community,Free game access,Chat,Blogs,,R&D,Purchases of tools from other Roblox game developers,,,,,,,,
,,,Developer community,Access to 40 million different games,,Public Relations,,"Platform fees (Apple, Google)",Roblox Education,,,,,,,,
,,,,Free game development (also in a team),,Word of mouth,,,,,,,,,,,
,,,,"Creating, publishing and operating virtual experiences",,,,,,,,,,,,,
,,,,Easy learning of game development and coding through Roblox,,,,,,,,,,,,,
,,,,Support tools and tutorials for game development,,,,,,,,,,,,,
,,,,Creating your own avatar,,,,,,,,,,,,,
,,,,Chat function,,,,,,,,,,,,,
,,,,Developer Forum,,,,,,,,,,,,,
,,,,Tuition support,,,,,,,,,,,,,
"Robinhood offers customers better access to the financial market. The company has achieved this primarily by making trading in shares, ETFs, options and cryptocurrencies free of charge. In addition, accessibility is increased through articles, videos and podcasts that educate users on the topic of investing and news from the financial world.",Market-Maker,Customer service,Awareness,Trusted and reliable website/app,Customer service,Website,Private investors,Website and app development,Robinhood Gold,robinhood,,,,,,,
,Banks,Development and maintenance of the platform/app,Human capital,Provision of real-time market data,Community,App,,Technology,Reimbursements from market makers,,,,,,,,
,Technology partner,Security measures,Monetary capital,"Commission-free trading of shares, ETFs, options and cryptocurrencies",Incentive system,Social Networks,,UX design,Stock Loans,,,,,,,,
,Legal institutions,Marketing,Frequent trading platform,"Provide knowledge and information free of charge, through videos, articles and podcast",Push notifications,Blog,,Maintenance,Interbank fees,,,,,,,,
,Investors,Product development,Large and young client base,Customer service,Automation,Public Relations,,,Interest payments from banks,,,,,,,,
,Insurance companies,,,User-friendliness,,Word of mouth,,,,,,,,,,,
,,,,Transparent business model,,ATM card,,,,,,,,,,,
,,,,Insurance cover through SIPC,,,,,,,,,,,,,
,,,,Simplified/transparent accessibility to financial markets,,,,,,,,,,,,,
"American Express sells products to private individuals and companies. The products offered are private credit cards, business cards, corporate cards and insurance policies.",Media and internet conglomerate,Marketing,Massive presence,Means of payment with high acceptance all over the world,Membership premium,Website,Users of financial services,Hardware and software,Commissions for payment processing services,american-express,,,,,,,
,Technology provider,Partnerships and alliances,The company had 109.9 million cards in force,American Express is one of the partner banks of the mobile wallet systems of Google (Android Pay) and Apple (Apple Pay),Emergency service,Mobile App,Travellers (specific products),Customer support,"Products (customer cards, credit cards, traveler's cheques)",,,,,,,,
,Banks,Branding,Long-term contracts,American express offers several credit cards for businesses,Identity theft protection,Social Media,Merchants,Presence,"Services (finance, insurance, travel)",,,,,,,,
,Investors,Operations,Partnerships and alliances,Business Travel Management Rental,highly automated,Bankfilialen,Massive Market,Head offices,,,,,,,,,
,Payment portals,IT Development,Bargaining power,,Customer care,Call Center,,Offices,,,,,,,,,
,Hotels,Integrations,25th most valuable brand in the world,,Security Trust,Word of Mouth,,Advertising campaigns,,,,,,,,,
,Airlines,Maintenance,"64,000 employees",,Convenience,Wird von Reiseführern wie Rough Guides und Lonely Planet empfohlen.,,Taxes,,,,,,,,,
,Car Rental,Legal,American Express Corporate Card Programme,,,Kreditkarten,,Legal,,,,,,,,,
,,Customer Care,,,,Firmenkarten,,,,,,,,,,,
"The way Calendly is used is a verry convenient and user friendly way. As already mentioned in the solution provider paragraph, the fact that that the product is compatible with most calendar services makes it very easy for new users to get used to the program. Also, the only way to communicate through this platform is through concrete dates and times proposals, which is a time-efficient aspect in getting meetings scheduled.",Firms,Connecting people,Brand,Freemium,Support team,Website,Corporates,Hosting,Subscription,calendly,,,,,,,
,Corporations,Scheduling meetings,Website integration,24/7 support,Help center,Mobile app,Customers,Maintenance,,,,,,,,,
,Start-ups,Customer service,Integration partners,Time-saving,Developers tutorials,Social media,Sellers,Employees,,,,,,,,,
,Service providers,Marketing,Community of users,Reliable platform,Website integration,Blog,Organizations & communities,Fee Payments,,,,,,,,,
,Calendar software,Product development,Technology,Ease of use,Online application,Word of mouth,Service selling individuals,Product development,,,,,,,,,
,Users,Finding integration partners,,,Mobile application,Press,,Sales,,,,,,,,,
,,Efficient time management solutions,,,,,,Marketing,,,,,,,,,
"Blinkist is available in all major app stores and on the website. The moderate price makes it attractive for customers; furthermore, you can consume the blinks through different channels. The app caters to individual interests and needs.",Influencer,Summarising the books,Brand,Filter out key messages,Customer service,App (iOS und android),Young professionals,Marketing,Subscriptions,blinkist,,,,,,,
,Freelancer,Preparation of the summaries,Users,Visual and auditory processing,App,Website,,Authors,Blinkist business,,,,,,,,
,Investors,,Freelancer (secret source),Manuals for writing the summaries,Website,Social media,,Platform design,,,,,,,,,
,,,,English and German language,Social media,Magazine,,,,,,,,,,,
,,,,Current literature,,Word of mouth,,,,,,,,,,,
,,,,,,Press,,,,,,,,,,,
"Initially, information had to be acquired laboriously through research in books and articles. Wikipedia not onlymakes it possible to find this information digitally, but also makes it possible to find the right thing withinseconds by simply entering a search term among an enormous amount of data.",Donors (raise the money to keep Wikipedia going (can also be users and editors),Platform programming,Platform,freely accessible encyclopaedia that can be accessed anywhere and as often as desired,Traceable log files,Website,Editing,Platform development,Donations (the amount of the contribution is left to the individual donors),wikipedia,,,,,,,
,Editors (ensure that content on the site is produced and controlled).,Content administration,Human Resources,wide range of articles covering topics in a variety of disciplines and available in a large number of languages,Discussion facilities,Online-Geschäft,Reading,Development of integrations and sister projects,Wikipedia Store (Merchandise),,,,,,,,
,Readers (provide Wikipedia as a first research option through word of mouth),Maintenance of network effects,Editing,"clear and uniform design, despite collaborations during authoring",online Platform,Mobile App,Donors (can also be editors and users),"Administration (contents, positions of editors)",,,,,,,,,
,,Fundraising,Readers,Transparency regarding content origin and control,Online-Store,Social Media,,Administration of the online store,,,,,,,,,
