Company,Description,Key Partners,Key Activities,Key Resources,Value Propositions,Customer Relationships,Channels,Customer Segments,Cost Structure,Revenue Streams
visa,"VISA is the world’s largest credit and debit card company and provides payment solutions around the globe. It makes its payment platform available to banks that develop credit and debit card programs for their customers. VISA distinguishes between banks as Issuers or Acquirers. While Issuers provide the cards to the card holders, Acquirers maintain relationships with the merchants. VISA manages the exchange of information between the different agents by operating an “Open-loop payments Network”. When a payment from the card holder to the merchant is processed, the information goes to the Acquirer, then through the VISA network to the Issuer and the same way back until the payment is accepted or rejected.","Issuing institutions, Technology partners","Operation and management of payment network, Processing of transactions","VISA brand, Payment network","World-wide convenient cashless payment option, Secure money transfers, Loyalty programs, Convenient payment for customers, Potential to boost sales, Payment platform and networ",Interaction with financial institutions (long-term),Financial institutions issuing credit cards to card holders,"Card Holders, Merchants, Banks (Issuers & Acquirers)","Operating costs of payment network, Marketing, Expenses for liabilities and charges","Service revenues from banks, Revenues from data processing, Revenues from international transactions, Revenues from value-added services"
waterdrop,"Waterdrop offers its customers a broad product portfolio of so-called microdrinks, which are small cubes that enrich the water with fruit and plant extracts through the neck of each bottle, thus making it easier for customers to drink enough water in a healthy way. A special app with which you can track your fluid intake promotes this effect. The range also includes a wide selection of reusable bottles and other drinking accessories. The products are sold through various distribution channels. These include the company's own online shop, sales partners and flagship stores in selected cities.","Influencer, Production, Trading partner, Shopify, Investors","Product development, Maintenance of the online shops, Cooperation with trading partners","Technology, Customer base","Easy to use, Healthy alternative, Fast delivery, Easy to access, Good taste, Sustainability","Customer service, Online Shop, Waterdrop hydration App","Website, Hydration App, Social Media, Word of Mouth","Everyone who drinks water, Company","Production costs, Rents, Wages, Distribution, Marketing",Sales
gillette-venus,"The Gillette Company manufactures and sells personal care products. The Company offers blades, razors, shave gel and foam, skin care, deodorant, body wash, after-shave creams, and hair epilators. Gillette serves customers worldwide.The company and its brand were international market leaders in the sector of shaving accessories. Wilkinson Sword is the biggest competitor on the market. Gillette, which had a global sales of 10.3 billion dollars and a profit of 2.3 billion dollars in 2004, employed roughly 29,000 workers in the same time period. Gillette was acquired by Procter & Gamble on October 1, 2005, but the brand was kept alive.","Owned by the multi-national corporation procter & gamble, Retailers, Suppliers, Manufacturers, Distributors, Sponsors, Sports stars (Roger Federer, Thierry Henry and Tiger Woods)","Marketing, Advertising, Manufacturing, Production, Logistics, Customer service, Ecommerce operation, New digital projects","Brand, Patents, Employees, Gillette r&d center in boston, Manufacturing center, First ""adjustable"" razor concept, Popular culture","Best experience in shaving, A new way to buy blades online","Lock-in, Shaving tips, Shave club, Coupons and offers, Ordering using text messages, Every 4th order free, Physical purchases, Online and digital shopping","Gillette bot, Website, Gillette on demand services, Retail, Supermarkets and pharmacies, Youtube, Twitter, Facebook","Women, Mass customers","Manufacturing, Operations, Compensation, Logistics, Advertising","Selling only low-margin device, Sale of recurring high margin blades, Retail sales, One time purchase, Subscription"
android,Android is Google's open-source mobile operating system which is designed for mobile devices such as smartphones or tablets. The user interface can be accessed via direct manipulation facilitated by certain touch inputs such as swiping or tapping to manipulate on-screen objects. Android includes several customization properties such as individual arrangement of home screens with shortcuts to applications and widgets displaying desired contents directly on the home screen.,"Network carriers, Development community, OEM's","Ecosystem development, Platform development, User experience testing, Market development","XYZ Android platform, R&D team, Google brand, Partnerships","XYZUse for multiple hardware devices, No cost for device managers for hardware implementation, Rich development ecosystem","Events, Blogs and forums for developers, Support, Developer tools","Mobile web, Devices with pre-installed Android system, Distribution","Buyers: mass market global smartphone users, Sellers: global business community","Platform development & maintenanceXYZ, AdMob developers, Costs for OEM's","Pay-per-click advertising, Subscription, Applications"
getbaff,"Getbaff's mission is to infuse commonplace objects with life, such as brochures, packaging, and banners. After several years of development, Hendrik Gottschalk (CEO), Jan Owiesniak, and Michael Bassler launched getbaff GmbH in 2019. It is focused on developing business partnerships with other companies and has already collaborated successfully with Sat.1 and Edeka. Videos can be projected onto a number of surfaces to bring them to life using specially developed augmented reality technology. Along with its own free app for end users, getbaff also gives the option of integrating the technology into the client company's existing app. Additionally, getbaff positions itself not only as a specialist in augmented reality, but also as a one-stop shop for app development. The customer is assisted in the fundamental development of their own application, while the software development kit is incorporated concurrently. Thus, getbaff customers have the opportunity to bring their analog advertising campaigns to life. They can thereby increase not only their own brand recognition, but also customer loyalty and, eventually, sales. The minimal entry hurdles and service orientation of getbaff make this augmented reality marketing solution appealing to clients and make it possible to swiftly and easily transition analogue products to the digital world.","Customer company (e.g. Edeka), Partner companies (e.g. Deutsche Post), End consumers, Investors (e.g. Düsseldorf Business Angels), Start-up programmes (e.g. Vodafone Uplift)","Offering AR marketing solutions, Connecting analogue with digital advertising campaigns, Supporting marketing campaigns and their execution, Developing and deploying apps that can perform the functions, Build attractive partnerships","Software Development Kit (SDK), proprietary app, Content management system, App development know-how","Making it possible to experience analogue advertising surfaces independently of time., Digitisation of everyday objects, additional advertising spaces, data generation, increased attention and customer loyalty, Differentiation from the competition, getbaff app for free use, Integration of the SDK into the apps of the customer companies, White Label App, Development of a completely new app with immediate integration of AR technology, easy handling of the getbaff app, no registration necessary, free download, Offers from different companies can be used with one app","Full service (administration and organisation of the campaign), Self-service (individual access to the content management system), Newsletter, Free consultation","Website, Company's own app, Apps of the customers, Social media, Events (e.g. trade fairs or exhibitions), TV appearances, Direct mail","Companies that want to design and link analogue interfaces with digital content, Companies that need support with app development and at the same time want to benefit from getbaff's technology, End consumers who want to use the getbaff app to experience analogue advertising space","Start-up costs, Development of the AR technology, Development of the content management system, Design of the website, Staff, Marketing and partnerships","Prices on request, depending on the scope of the offer and the requirements, no revenue stream is generated from the end consumer side (free app)"
coursera,"Coursera is an education platform that offers courses online for anyone for free by partnering with high-class universities and other educational organizations worldwide. People who are interested in taking a course on Coursera can choose from 600+ courses that are offered by about 110 high-ranking organizations worldwide. Students can create an own schedule and embrace the learning experience by watching video lectures, taking interactive quizzes, completing peer graded assignments, or interacting with other students and teachers. After having finished a class, students can receive recognition in the form of a certificate.","Universities & teachers, Amazon, Translators, Translators, Distribution partners (e.g. JetBlue)","Creating & maintaining IT infrastructure, Managing current partners & acquiring new ones, Managing the learning community","Online platform, Partnerships with top universities","Access to world-class education for free, Helps people improve their lives, Wide reach, Flexible schedule & interactive tools","Community, Social media, Blog","Online platform, Mobile application, Entertainment system in planes (through JetBlue)","Mass market, Individuals interested in (prestigious) education, Individuals with lower income or busy schedules","Creation of IT infrastructure, Business operations, Partnership management","Premium services: Signature Track, Revenues from career service, Licensing fees: $3000 + additional fee per student, Affiliates program with Amazon: commission on each book sale"
browserstack,"Browserstack is an online platform for companies as well as private individuals, which can be classified in the software development segment. The company was founded in 2011 by Ritesh Arora (CEO) and Nakul Aggarwal. Browserstack, Inc. and its subsidiaries have offices in San Francisco (California, USA), Mumbai (India) and Dublin (Ireland). With its simple web design, the platform offers a user-friendly variant for testing and comparing, for example, the software of a website live in a cloud or in data centres. Customers are given the opportunity to try out their software live on 3000 devices and check its functionality. For example, the company provides a large number of laptops, tablets and mobile phones from a wide range of providers with their operating systems. Browserstack thus relieves corporate software companies of the problem of having their own ""device labs"", which enables them to save costs.","Software Company, Tech Company, E-Commerce Company, Investors, Software Developer, Companies that already rely on Browserstack, Common tools and frameworks in app/website design (e.g. Selenium, WordPress)","Website Software Tests, Customer Service, Marketing, Product Development, Equipment maintenance, Adaptation of devices and operating systems to market trends, Cooperation/integration of different tools/frameworks (e.g. Selenium)","Ambassadors/Testemonials (successful companies that rely on Browserstack e.g. Microsoft, Harvard University), social media, Different devices with different operating systems, Functioning cloud system","Trusted platform, Reliable testing, 24/7 customer service, Ease of use, time-saving, cost-saving, Accelerated development, testing and publishing of the app/website, high security standards, available at any time and any place","Support team, Website, Social Media, Free Trials, umfangreiche FAQs, Free Demos (auf Anfrage; für Live for Teams), Test University (Beta-Version), Events und Webinar","Website, Social Media, Word of Mouth, Local sites","Developer, QA Tester, Teams/Enterprises","Foundation costs, Server maintenance, Web design, Marketing, Employees, Sales, Site Rent","IT Service, APP Tests, Website Tests, Live (from $ 29 to $ 125 per month; Enterprises on request), Automate (from $ 129 to $ 199 per month; Enterprises on request), Percy (free up to $99 per month; Enterprises on request), App Live ($ 29 or $ 25 per month; Enterprises on request), App Automate ($199 per month; Enterprises on request)"
hilti,"Hilti AG is a designer, manufacturer and marketer of high-quality tools, machines and equipment for construction, building maintenance and mining industries. Hilti's products are mainly used by professional end-users. Hilti's business model shifted from selling tools to providing a tool management service by leasing tools to contractors and managing them.",Suppliers for materials,"Optimization of ability to maintain a large number of tools (warehousing, inventory management), Focus on service instead of manufacturing and distribution, Contract management","Hiqh-quality tools, Fleet management applications, IT infrastructure for inventory management, Warehousing","Renting tools instead of buying tools, Management of tool fleet (including repair, maintenance, availability planning, etc.) through Hilti, Get only the tools you really need, Projectable tool costs",Long-term contracts instead of single sales transactions,Trained sales teams convincing customers to buy a service instead of a product,Professionalists in construction industry,"Costs for maintenance of tools, Costs for fleet management, Costs for contract management",Monthly fees
myfitnesspal,"MyFitnessPal is a smartphone application and website that allows users to keep track of their food and activity. Gamification features are used to inspire users. Users may track nutrients by scanning the barcodes of various food products or by searching the app's extensive pre-existing database. Additionally, users may connect their MyFitnessPal account to other fitness applications such as FitBit, Samsung Health, and others. Under Armour purchased MyFitnessPal in February 2015. Under Armour stated in October 2020 that MyFitnessPal would be sold to private equity company Francisco Partners for $345 million and that Endomondo would be discontinued.","Investors, Operation systems providers, Developers for data exchange, Health & fitness apps","Product design, Software engineering, Data management (calories and food data)","Food & exercise data base, Website traffic/ subscribed members","Fast & easy way to count calories and track food, Free subscription, Free access to the world's largest nutrition and calorie database, Customized food database & diet profile, Support & motivation","Community, Blog, Social media","Website, Mobile app","Consumers with weight problems, Individuals with the preference for do-it-yourself methods",Technological infrastructure,Advertisement
synlab,"Any test, any place, any time"": this was the motto under which former CEO Synlabs Dr Bartl Wimmer (since 2018 Mathieu Floreani) founded the company in 1998. The laboratory service provider intends to improve the health and well-being of all through research and new methods. Through a number of innovative medical diagnostics, the company aims to support patients, doctors, clinics and pharmaceutical companies in testing and therapy.","Doctors' surgeries, Hospitals, Companies (COVID-19 tests at events), Health insurance companies (Synlab provides a variety of services supported by health insurance companies), Research institutes (pharmaceutical companies, universities, environmental analysts, etc.)","Research, Carrying out laboratory tests, Preparation of findings, Document delivery, Diagnosis / therapy discussions","Data and knowledge (research, international exchange, experience, ...), Medical equipment (machines, materials, devices, ...), human resources, Partnerships (medical associations, hospitals)","reliable, numerous tests, health insurance-supported examinations, but also a lot of private services for preventive health care are offered, simple and option-rich delivery of findings, strong service orientation, Latest medical progress in laboratory techniques and testing through international access and ongoing research","online contact form, internet based communication, Reports","Website (contact possibility), Social Media, Public Relations (doctors and clinics), Annual Reports","Persons/animals to be treated, Doctors' surgeries, Hospitals that outsource laboratory activities, Companies and associations that have tests carried out for large groups of people, Hospitals that outsource laboratory activities, Research operators","Research, medical equipment, rent, energy, Insurances and taxes, marketing, human resources","private services, Health insurance-supported examinations"
twitter,"Twitter is an American publicly traded microblogging and social networking website launched in 2006. With more than 211 million daily active users and 500 million daily tweets (posts), Twitter is undoubtedly one of the most popular social media platforms in existence today. Twitter's main purpose is to connect people and allow them to share their thoughts with a large audience. Twitter allows users to discover stories about today's most important news and events, follow people or companies that publish content they enjoy consuming, or simply communicate with friends. In addition, PR teams and marketers can use Twitter to increase brand awareness and engage their audience.","User, Content creator, Influencer, Third party websites, Over 200 partners, Advertisers, Service partners, Third party tools, Researcher technical, Partners, Developers, Investors, Regulators, Intelligence agencies","Engaging users, Platform development, Monitoring trends, Content partnerships, New features, improving algorithms, Manage content/users, Improving software, Evaluate data, Law, Reduce negative network effects and enhance positive network effects","Active users, Tweets, embedded content, The brand, App/Website, Algorithms, User data, Employees","Immediacy, Democratic Forum, Social experience, Online reputation, Current issues, Ongoing communication, Freedom of expression, Bringing people together","Selbstbedienung, Automatisierung, Ko-Kreation, Seitenübergreifende Netzwerkeffekte","Website, Desktop Apps, Mobile Apps, Twitter Lite developed for areas with poor internet connection, Social Media, Notifications","Users (Tweeters), Influencer, Companies, Advertisers and marketers, Agencies","Staff, servers, storage, platform maintenance, R&D, software development, office, tax, acquisitions and investments., General & Admin","Paid advertising for companies buying promoted tweets that appear in selected search results on the Twitter, Data streams, Commercial accounts, Twitter cards, Sale of advertising services, Data licensing"
zizoo,"The Viennese company Zizoo was founded in 2014 by Anna Banicevic. Zizoo is an online platform that specialises in renting boats for holiday trips. It aims to make chartering yachts more accessible and easier than existing ways. The boats are provided by charter companies, which also offer staff if required. Thus, the customer is offered an all-round service, which should simplify the booking of sailing holidays.","Investors, Charter companies, Payment service providers","Software development, Stimulate network effects, Manage the payment process","Software, Selected charter companies","Support, Real-time availability of boats, Up-to-datedness, Simple booking process, Rental, Provision of add-ons, Insurance, licences, authorisations, Software, Verified employees",24/7 customer service,"Website, Social Media, Magazine, Word of Mouth, Press","Sailor, Holidaymaker","Software, Website design and development, Marketing, HR","Service fee of the charter companies (20% of the booking fee), Transaction fee (2% of the total payment)"
aitme,"Aitme is a German start-up that aims to digitise company canteens. The company focuses on combining food with the latest technology and modern design. The company's mission is to offer a robot-controlled alternative to the classic canteen. It is a device that can prepare live and fully automated up to 100 different recipes from fresh ingredients. The founders want to provide high-quality, hot and varied food at flexible times, while keeping costs low for both the company and its employees. The cooking robot was developed for the B2B sector and is to be used in company canteens of all sizes in the first step. In further development steps, the founders also want to expand into other markets, for example in hospitals or Ghostkitchens at airports or train stations.","Investors, Logistics partner, Producers","Service, maintenance & repair, Pre-cooking of meals, Research & Innovation, Distribution, Recipe development, Leasing and rental contracts","Cooks in development, Capital, Software & Hardware, Recipes","Replacement for conventional company canteen, Balanced diet, 24/7 availability, Large selection of dishes (8pieces), Freshly cooked, Quick preparation","Service employee, User app for employees, Social media, Customer service / service hotline","Personal contacts of the founders, Service staff, Website, Social Media, Word of Mouth, User app for employees","Small, medium-sized and large companies in Germany, Employees of the companies","Production & Research, Production facilities & staff, Service: Cleaning and filling service, Repair and spare parts service, Quarterly maintenance, POS system with order terminal, User App for the employees, Programming and UX Design","Rent, Leasing rate, Turnover per dish"
wyzant,"WyzAnt provides a local marketplace where tutors can connect with students. Tutoring is offered for a variety of subjects, such as foreign languages, test prep, science, or sports, by 80,700+ qualified private tutors. Students can browse and review tutor profiles and connect with those tutors for free whose offer matches the most. The company takes care of the payment and the matching process to ensure the best fit. It generates revenues by taking commission based on the hourly rates posted by tutors.","Payment partners, Tutors (qualified teachers, students,...)","Managing the tutor community, Maintaining & developing the IT infrastructure, Payment processing, Marketing, Product management","Base of tutors located all over the US, Trust","Easy way to find a tutor at an affordable price, Access to tutors for a wide range of subjects, Good fit guarantee & insights into the feedback given by other students; background checks of tutors, Payment management, Tutors get access to students in the local area, Exposure to a large target group, good marketing, Student management","On the one hand short-term for students who need one-time support, on the other hand some students seek tutoring on a regular basis throughout the whole semester","Website, Apps in App Store & Google Play",Students who are in need of tutoring,"IT infrastructure, Marketing, Operations & HR","Commission rates are based on the posted hourly rates and depend on the hours worked: Up to 20 hours worked - 40% commission, 401+ hours worked - 20% commission"
buffer,"Buffer is a social media management platform helping to share articles, pictures, and videos on social media accounts, such as Twitter, Facebook, LinkedIn, Google+, and App.net, automatically. In addition, it provides analytics that can be used on the individual level on the personal account or on the corporate level for a business account. With the freemium model consistent 2% conversion from the free to the paid subscription can be achieved. As of January 2015, Buffer has more than 2,000,000 registered users.","Social media partners, Developers, Partnerships with other apps","Engineering, Product design, Customer service","Software, Customer service, Partnerships with developers, apps and extensions","Management of several social media accounts, Content can be scheduled from anywhere on the web, Continuous social media presence, Provides rich statistics on the posts","Automated service on the website, Personal customer service, Platform for feedback & ideas","Website, Mobile app","Individual customers with high social media presence, Business customers","Human resources, Technological maintenance","Free, Subscription fee"
square,"Square provides credit card reader applications and point of sale solutions allowing merchants to accept payments on smartphones and iPad. Founded in 2009, and headquartered in San Francisco, Square is currently available in the United States, Canada, Japan, and Australia. It evolved from the idea to re-invent buying and selling and created a mobile and flexible POS system which helps to connect local businesses and customers. The whole system provides an affordable tool to run and grow business.","RED (Global Fund fighting against cancer), Contract manufacturers (ODM/ OEM), Sumitomo Mitsui Card Corporation","Creation & maintenance of the technological infrastructure, Product design & development, Marketing, Communications & Sales, Customer support","Hardware & software, Collaborative entrepreneurs","Simple pricing, fast deposits, sales and inventory tracking, No additional charges; acceptance of all major credit cards, Mobility & flexibility regarding POS, Connecting local sellers and customers, Fast money in advance for small businesses","Customer support via email, youtube videos, twitter & online help center, Transactional","Square market, Mobile app, Retail locations/ Apple store, Word of mouth","Businesses of all sizes (in USA, Canada, Japan, and Australia)","Off-sites, Development of hardware & software, Human resources","2.75% per swipe or online sale 3.5% + 15 cent per manually entered transaction, Interest rate from Square Capital, Hardware sales (Square Stand)"
minuteclinic,"MinuteClinic provides a health care service by employing nurse practitioners in a pharmacy-based medical kiosk to offer medical treatment for minor health problems without any prior appointments and within about half an hour. The nurse practitioner is able to diagnose a limited number of common non-severe medical conditions applying rule-based diagnostics. With this, e.g. health screenings, monitoring medical conditions, and vaccinations are available at a much lower cost than in a regular hospital. It has approximately 2,200 nurse practitioners and is open seven days a week.",Clinical affiliations,Creating and optimizing standardized checklist based procedures,"Nurse practitioners, Physician assistants, CVS/pharmacy stores, Proprietary software: electronic medical records","Making health care easier for people with a lot going on, High-quality health care where people live and work provided by certified nurse practitioners, Affordable: most insurance plans accepted; cash, checks and credit cards, Convenient walk-in service: no appointment needed, open 7 days a week, evenings and weekends, and located inside your neighborhood CVS/pharmacy store, Coordinated: visit summary sent to your primary care provider, with permission, or assistance finding a provider, if you don't have one",Transactional,Walk-in medical clinics conveniently located inside CVS/pharmacy stores,"Seekers for basic medical treatment, Mostly people without a primary care physician, Employees who can use the service on weekends and after work",Staff,"MinuteClinic accepts most insurance plans, Cash, checks, and credit cards"
vapiano,"Vapiano is a restaurant chain combining Italian fast casual dining experience with a relaxing atmosphere. Since its opening in Hamburg 2002, it has grown to over 150 locations in 29 countries on 5 continents with a franchise concept. Its operation can be compared to an upscale fast food restaurant that connects self-service with high-quality food. The restaurants provide a hip setting with modern architect styles and are located in highly dense areas to catch the high customer flow. Franchisees are offered a proven and successful dining concept and an internationally recognized brand.","Brands, Suppliers, Franchises, Real estate owners","Logistics, Restaurant operations, Staff training, Developing franchise partnerships","Economies of scale through the standardized menu, enabling not only lower cost, but also ensuring consistent quality throughout the world, Staff, Prime real estate, Proven success criteria","High-quality Italian food, standardized menu consisting of pasta, pizza, antipasti and dolci, freshly prepared to order, Uncomplicated restaurant design, warm and relaxing atmosphere enabling a ""break from daily routine"", Clear and proven business and operating model guaranteeing success, Standardized menu, layout and operating model, Being part of a global brand, Exclusive partnerships, Attractive use of prime real estate, long term renta","Transaction based, Due to standardized menu and quality customers look for Vapiano restaurants throughout the worl, Close relationship offering exclusive partnerships in certain countries or areas","Being part of a global brand Exclusive partnerships Attractive use of prime real estate, long term rental Customer Relationships Transaction based Due to standardized menu and quality customers look for Vapiano restaurants throughout the world Close relationship offering exclusive partnerships in certain countries or areas Channels Restaurants, Dedicated franchise and marketing company","Customers, Franchise partners, Real estate owners","Standardization enables low cost and economies of scale, High real estate cost as restaurants are in prime locations, Lower operating cost, because of the self-service system, less service staff is required","Sales, Franchise fee"
venmo,"Venmo is a money transfer business offering an application for an easy and secure way to exchange payments between friends and other trusted people. Users can pay their friends instantly by choosing a friend over phone, email, or facebook, typing the amount and messaging. Lastly, the sharing options can be selected. The service is primarily designed for payments between people who trust one another.","Payment partner PayPal, Nonprofits, Selected businesses, Developers","Building and maintaining IT infrastructure, Product design & development, Fraud analysis",Mobile platform,"Easy way to pay friends, Secure transactions, Payments without fees, Fun & social","Automated help center, Blog",Mobile app,"People with a smartphone, Users paying with credit card, Payout users","IT infrastructure, Human resources","3% fee for the use of credit card, $0.25 for using payout"
outfittery,"Outfittery is a fashion company assisting men in online shopping through a customized outfit consulting. Registered users are asked to fill out a questionnaire about clothing style and sizes. Subsequently, one of the company's style experts contacts the user personally at a time specified by the customer . Based on the information from the survey, the style expert compiles customized outfits that will be sent to the customer.","Manufacturers, Logistics partners (DHL), Payment partners","Consultation & customer service, Creating & maintaining IT infrastructure, Sales, Logistics","Website, Style experts, Personalization feature","Perfectly tailored outfits, Highly personalized service, Pleasant & easy way to shop cloths, Free consultation & shipping","Personal contact with style experts, Social media, Blog","Website, Word of mouth",Men who like to have stylish clothes but lack time or patience to go for shopping,"Shipping costs, Procurement of cloths, IT infrastructure, Human resources, Telecommunication costs",Product sales
threadless,"Threadless sells entirely customer designed T-shirts and other products such as bags. Amateur designers and fashion lovers can submit their designs through the company's website and within seven days the community can vote on the products theywant to buy. The most popular designs are then manufactured without hours. The T-shirts are sold through the website but also via other retailers. The business model of Threadless integrates users into the important business processes of ideation, market research and product development thus leveraging the power of the customer in the technology supported world.","Customers, T-shirt supplier, Printing company","Build and maintain online community, Technical maintenance of community, T-shirt production & shipping","Community, Design ideas of customers, Voting participation of customers, Server infrastucture","New designs every week, Trendy & unique t-shirt designs at a reasonable price, Opportunity to realize own designs & to receive rewards for designs going into production, Being part of a community with high-level design appeal","Online community, Voting empowerment and the possibility to hand in design makes the company the customer’s company",Online platform,"Age group: 15-35, Trendy & creative people","Costs for t-shirts and printing, Costs for web platform & retail store, Money paid to designers for winning designs","T-shirt sales, Sales from other products such as bags or phone cases"
toyota,"Toyota Motor Corporation, commonly abbreviated as Toyota, is a Japanese multinational automaker based in Toyota, Aichi. Toyota is one of the world's leading carmakers with an established reputation for reliability, fuel efficiency, and innovation. Toyota was the first automobile manufacturer in the world to produce more than 10 million automobiles each year, a feat it has maintained since 2012, when it also recorded producing its 200 millionth vehicle. Toyota was the largest publicly traded business in Japan in terms of market capitalization and sales in July 2014.","Suppliers, Retailers, Sponsorship Partners","R&D, Manufacturing, Marketing & Sales, Supply chain management, Inventory management","IP, Toyota Production System, Employees","High quality automobiles, Good after sales services & maintenance, High durability, Design & innovation, Eco-thinking","After sales service, Social media, Automated services","Show room, Separate dealers, Retailers","Corporate clients/ high class, Low class/ Mid class/ family, Sport enthusiasts","Production & operating costs, Marketing, R&D, Legal expenses, Administration costs, Human resources","Sales of vehicles, engines, and motorcycles"
lilium-gmbh,"Lilium GmbH was formed in 2015 by Daniel Wiegand, Sebastian Born, Patrick Nathen, and Matthias Meiner, all of whom are engineers and doctorate students at the Technical University of Munich. The publicly traded firm is working on the development of a vertical take-off and landing aircraft. The Lilium Jet is a 36-motor all-electric aircraft. It is intended to be capable of transporting many people independently as an air taxi. Lilium's vision is for everyone to be able to fly on their Lilium Jet in a manner similar to that of an air taxi. Similar to traditional taxi services (Uber), passengers should be able to request a plane to the next pick-up location via an app. It will initially be piloted by a human, but will eventually be handled by a computer. Lilium's objective is to build a regional high-speed transportation system that is both sustainable and accessible.","ABB, Azul, Honeywell, Ferrovial Airports, Customcell, Toray, City of Orlando, Tavistock, Cologne Bonn Airport, Düsseldorf Airport, Aciturri, Investors (e.g. Tencent, Atomico, Freigeist Capital), Federal Ministry of Transport and Digital Infrastructure ","Infrastructure design (Vertiports), Lillium Network (B2C), Turnkey Enterprise Sales (B2B), Development of the Lilium Jet, Research and development in the field of electronic flying, Pilot training, flight planning, Construction and distribution of technical products, Lilium jets, Customer App","Staff, Finance, Machinery, Technology, Li-Ion batteries","New Way of Travelling (Human Flight History), Low-cost, fast travel, ""Ecological, clean"" travel, Building a regional air mobility network, Design, style, Safety, Volume","Support Team, Social Networking, Training, App-Based Service (not yet on the market), Digital platform","Website, Customer App / App-Based Service (noch nicht am Markt), Social Media, Network Management","Individual customers (B2C), Companies in the aerospace industry (B2B)","Staff, Advertising and PR, Resources (batteries, Lilium Jet components, prototypes), Development of service software, Expansion of production halls","Provision of financial resources of the investors, Shares, Sale to Brazilian airline Azul of 220 aircraft, Sale of tickets (Lilium Network), Sale of aircraft fleets with agreed service and maintenance to, companies and governments (Turnkey Enterprise Sales)"
sharenow,"ShareNow GmbH is a German carsharing company, formed from the merger of car2go and DriveNow. It is a joint venture of Daimler AG and BMW providing carsharing services in urban areas in Europe, and formerly in North America. It has over four million registered members and a fleet of over 14,000 vehicles in 18 cities across Europe.","Charge stations, Insurances, Partners for bonus programs","Rental, Marketing, Fleet management, Car cleaning, fueling up, maintenance",Premium Cars,"Premium one-way car rental and sharing, Find a car and drive off, anytime, anywhere, Everything is included in the per minute price (fuel/diesel, parking, insurance, tax), Park anywhere at no extra cost, No pre-booked rental time. Drive as long as you want. The rental period can be for any length of time, The fleet currently includes: BMW: 1 series, X1, ActiveE Mini: Convertible, Clubman, Countryman","Flexible use, No long term contract","Website to find and book a car, Smartphone app to find and book a car","Young people, urban","Cars, Marketing, Technology, Maintenance, cleaning, fuel, insurance, Cost of improper use (damages, parking tickets, ...)","Registration fee, Per minute, Prepaid minute packages, Hour packages including a fixed amount of kilometers, Fees for administrative offences, Special prices for trips to predetermined locations (e.g. airport) or trips ending in another city"
ponoko,"By applying distributed manufacturing, Ponoko connects designers with manufacturing services to let them realize their projects and provides them with a platform to sell (license) their designs. In particular, Ponoko offers laser cutting, 3D printing & metal machining services to turn the submitted designs into custom products. The company operates 12 digital making centers across the USA, EU and NZ and so far more than 145,000 creatives have made over 425,000 custom products (as of June 2015).","Creators, Digital fabricators, DIYers & buyers, Material suppliers","Platform maintenance, Network management, Production, Design & content","Submitted designs, Network of manufacturer & contracts with digital fabricators","Ponoko is a platform bringing together creators, digital fabricators, DIYers & buyers and material suppliers in 3D-printing, Digital fabricators can offer their services via the Ponoko platform, - Creators can share or license designs - They can also have their designs manufactured through 3D-printing services, Customers can buy product designs and have it produced and delivered by Ponoko",Platform bringing together creators and makers,Website,"Designers & makers, Brands & businesses, Buyers",Platform maintenance and operation,"Monthly subscriptions, Payments based on material costs and time of laser cutter usage"
harley-davidson,"Harley-Davidson Inc., formerly known as Harley-Davidson Motor Co., is a publicly traded company based in Milwaukee, Wisconsin (USA). It is well-known for its distinctive motorcycles. Motorcycles and the Harley-Davidson brand have achieved cult status among motorcyclists.","Groups of companies harley-davidson motor company and harley-davidson financial services, Worldwide more than 1.400 dealers, Distributors","Designs, Manufactures and sells at wholesale on-road harley-davidson motorcycles, Motorcycle parts, Accessories, Merchandise and related services, Wholesale and retail financing and insurance, Events","Brand, Factories, Large brand community, Designers, Components suppliers, Patents, Ai advertising technique","Lifestyle, Honesty, Accountability, Style of customization that gave rise to the chopper motorcycle style, Live to ride","Harley-davidson attracts a loyal brand community, Book your test ride, Freedom, Two wheels move the soul","Dealers, Blogs, Website, Ride outs, Events, Magazine","People from different backgrounds, Sub-cultures of the bikers, Brand lovers, Motorbike clubs, Collectors","High-quality components, Manufacturing, Production, Product development, Design, Factories, Marketing, Engineers","Selling experience, Motorcycles, Financial services, Merchandising"
